latitude,longitude,location_desc
43.96232693830,-78.892948221027,262 Symington Ave
43.86421362551,-78.838441818952,Valley Westbound @ Ritson
43.86331800000,-78.837962000,1393 Ritson Rd S
43.89234600000,-78.868870500,138 Nassau St
43.94340511572,-78.893693001544,1877 Dalhousie Crescent
43.94710306033,-78.899419584887,Conlin Westbound @ Founders
43.93688378394,-78.880482679306,Simcoe Northbound @ Glovers
43.86711000000,-78.828540000,"Simcoe Street South &, Valley Dr, Oshawa, ON L1H 8J7, Canada"
43.89251600000,-78.861388300,190 Simcoe St S
43.86355560000,-78.828026500,55 Lakeview Park Ave
43.92295568067,-78.874698914587,962 Simcoe St N
43.95468490000,-78.883653700,399 Britannia Ave E
43.85625230000,-78.875840600,1260 Terwillegar Ave
43.94263370000,-78.850976600,1471 Grand Prairie Path
43.89608580000,-78.859828400,71 Bruce St
43.86349606473,-78.829150515179,Westbound @ 60 Lakeview Park
43.89886630604,-78.862175108625,48 Bond St E
43.88389241417,-78.857225328683,Simcoe Northbound @ First
43.94223970000,-78.861724699999,1507 Greenvalley Trail
43.89654000000,-78.862890000,V4WP+JR Oshawa
43.94429640000,-78.855033700,1011 Coldstream Dr
43.88282586919,-78.861206281967,111 Mill St
43.87083928387,-78.830729797482,100 Harbour Rd
43.94864760000,-78.878425499999,1899 Edenwood Dr
43.92566970000,-78.876311400,1050 Simcoe St N
43.93974210000,-78.854950200,665 McCue Drive
43.87412270000,-78.863903200,799 Park Rd S #3
43.89811905816,-78.861740680202,50 King St E
43.95329990316,-78.898246362805,10 Northern Dancer Dr
43.87126700000,-78.854969999999,Glen Southbound @ Porter
43.85720270000,-78.846023499999,1530 Cedar St
43.88939410000,-78.856108099999,98 Olive Ave
43.88085501475,-778.87800176211,Stevenson Southbound @ Laval
43.86126249593,-78.831472239141,1514 Kluane Ave
43.89796272180,-78.863761260758,14 Simcoe St N
43.88650029348,-778.87748648273,471 Gibb St
43.85414700000,-78.874448100,Phillip Murray Eastbound @ Skae
43.90160667827,-78.873475872161,217 Arena St
43.93032696057,-78.878170028328,1240 Simcoe St N
43.86997594169,-78.851456170768,245 Durham Regional Rd 60
43.86493000000,-78.824940000,Lakeview Park Beach
43.90901621982,-78.871526960739,65 Buckingham Ave
43.93383873398,-78.874471564511,109 Durham Regional Rd 4
43.88729987572,-78.873588414453,385 Gibb St
43.89531570000,-78.852346900,157 Clarke St
43.86775750000,-78.838360799999,81 Kawartha Ave
43.88897547263,-78.876068069437,V4QF+CG
43.88998330000,-78.889849699999,42 Vancouver Ct
43.89657350000,-78.867473700,300 King St W
43.93741911130,-78.88910619568,165 Niagara Dr
43.86137582171,-78.8369396427,1469 Ritson Rd S
43.86250985790,-78.832095293401,71 Lakeview Park Ave
43.94769800000,-78.850729700,Delpark Homes Centre
43.90205790000,-78.862339600,146 Mary St N
43.90156460000,-78.871039400,123 Elgin St W
43.89430360000,-78.878434100,404 King St W
43.90074660000,-78.854522700,30 Ritson Rd N
43.87206800000,-78.841184000,Simcoe Southbound @ Ritson
43.87142330013,-78.86358556905,900 Park Rd S
43.86890593534,-78.834623418537,1289 Durham Regional Rd 2
43.92886272609,-78.873578421771,Northbound @ 1185 Mary
43.94707179366,-78.894602606268,2061 Simcoe St N
43.94423290338,-78.89086317334,1916 Simcoe St N
43.86869583309,-78.846141435205,200 Thomas St
43.94298506886,-78.889138556723,Simcoe Southbound @ Niagara (North stop)
43.86206432621,-78.834224504821,Lakeview Westbound @ Birchcliffe
43.89770230000,-78.882753799999,144 Fernhill Blvd
43.93311172662,-78.87878113059,1349 Simcoe St N
43.94423850000,-78.893634400,2000 Simcoe St N
43.86047436123,-78.836851293472,1518 Ritson Rd S
43.89169650000,-78.864664799999,190 Monck St
43.89914350000,-78.869003999999,93 McMillan Dr
43.90542140000,-78.867304700,290 Simcoe St N
43.94739860000,-78.838892300,1468 Coldstream Dr
43.86484086336,-78.82929927266,1638 Simcoe St S
43.88581397550,-78.880272209644,Gibb Eastbound @ Stevenson (West side stop)
43.93235307783,-78.881152783084,69 Durham Regional Rd 4
43.94636900000,-78.841492000,Grandview Northbound @ Appleby
43.90682507359,-78.869965150952,45 Hospital Ct
43.96456173211,-78.892832823025,2561 Bridle Rd
43.95583237552,-78.899386463074,Simcoe Northbound @ Britannia
43.86621583107,-78.829988837242,1615 Simcoe St S
43.94300699379,-78.889130932935,Simcoe Southbound @ Niagara (North stop)
43.94558165462,-78.892559248414,2023 Durham Regional Rd 2
43.87576860000,-78.856742400,811 Glen St
43.90625384546,-78.857063577931,248 Adelaide Ave E
43.89215730000,-78.855899299999,129 Stacey Ave
43.89721450000,-78.860010800,99a Athol St E
43.90010220000,-78.871645700,155 Arena St
43.89548890000,-78.873494700,2 Warren Ave
43.91896190000,-78.881718700,225 Switzer Dr
43.94855590000,-78.852422799999,1661 Harmony Rd N
43.86412000000,-78.875800000,Wentworth St & Thorton St
43.86944000000,-78.872930000,GM Plant
43.86527000000,-78.871280000,Wentworth St & Stevenson St
43.94087000000,-78.886470000,1700 Simcoe St N
43.94353000000,-78.893820000,1877 Dalhousie Crescent
43.94290000000,-78.889480000,1812 Simcoe St N Oshawa
43.92115000000,-78.874160000,894 Durham Regional Rd 2
43.87206000000,-78.825120000,"169 Harbour Rd, Oshawa, ON L1H 8L1"
43.89586000000,-78.862660000,"Simcoe Street South &, Valley Dr, Oshawa, ON L1H 8J7 (PEIR)"
43.86623000000,-78.829580000,"Simcoe Street South &, Valley Dr, Oshawa, ON L1H 8J7 (PARKING LOT)"
43.86257000000,-78.832030000,"55 Lakeview Park Ave, Oshawa, ON L1J 7Z2"
43.85842000000,-78.845550000,"1535 Cedar St, Oshawa, ON L1J 0A8"
43.87052000000,-78.838750000,"1244 Simcoe St S, Oshawa, ON L1H 4M3"

